# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = r_slds_model
# start_datetime = 2024-03-09 21:17:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpHL0jKJ/standata-76f4662a6cef.json
# init = 2 (Default)
# random
#   seed = 771505966
# output
#   file = /home/guglielmo/PoD/Y2.1/ITI/project/out/r-slds-202403092217-1-24d933.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/guglielmo/PoD/Y2.1/ITI/project/out/r-slds-profile-202403092217-1-063f73.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --name=r-slds_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,A.1.1.1,A.2.1.1,A.3.1.1,A.4.1.1,A.1.2.1,A.2.2.1,A.3.2.1,A.4.2.1,A.1.1.2,A.2.1.2,A.3.1.2,A.4.1.2,A.1.2.2,A.2.2.2,A.3.2.2,A.4.2.2,b.1.1,b.2.1,b.3.1,b.4.1,b.1.2,b.2.2,b.3.2,b.4.2,Q.1.1.1,Q.2.1.1,Q.3.1.1,Q.4.1.1,Q.1.2.1,Q.2.2.1,Q.3.2.1,Q.4.2.1,Q.1.1.2,Q.2.1.2,Q.3.1.2,Q.4.1.2,Q.1.2.2,Q.2.2.2,Q.3.2.2,Q.4.2.2,R.1.1.1,R.2.1.1,R.3.1.1,R.4.1.1,R.1.2.1,R.2.2.1,R.3.2.1,R.4.2.1,R.1.3.1,R.2.3.1,R.3.3.1,R.4.3.1,R.1.1.2,R.2.1.2,R.3.1.2,R.4.1.2,R.1.2.2,R.2.2.2,R.3.2.2,R.4.2.2,R.1.3.2,R.2.3.2,R.3.3.2,R.4.3.2,r.1.1,r.2.1,r.3.1,r.4.1,r.1.2,r.2.2,r.3.2,r.4.2,r.1.3,r.2.3,r.3.3,r.4.3,z_star.1,z_star.2,z_star.3,z_star.4,z_star.5,z_star.6,z_star.7,z_star.8,z_star.9,z_star.10,z_star.11,z_star.12,z_star.13,z_star.14,z_star.15,z_star.16,z_star.17,z_star.18,z_star.19,z_star.20,z_star.21,z_star.22,z_star.23,z_star.24,z_star.25,z_star.26,z_star.27,z_star.28,z_star.29,z_star.30,z_star.31,z_star.32,z_star.33,z_star.34,z_star.35,z_star.36,z_star.37,z_star.38,z_star.39,z_star.40,z_star.41,z_star.42,z_star.43,z_star.44,z_star.45,z_star.46,z_star.47,z_star.48,z_star.49,z_star.50,z_star.51,z_star.52,z_star.53,z_star.54,z_star.55,z_star.56,z_star.57,z_star.58,z_star.59,z_star.60,z_star.61,z_star.62,z_star.63,z_star.64,z_star.65,z_star.66,z_star.67,z_star.68,z_star.69,z_star.70,z_star.71,z_star.72,z_star.73,z_star.74,z_star.75,z_star.76,z_star.77,z_star.78,z_star.79,z_star.80,z_star.81,z_star.82,z_star.83,z_star.84,z_star.85,z_star.86,z_star.87,z_star.88,z_star.89,z_star.90,z_star.91,z_star.92,z_star.93,z_star.94,z_star.95,z_star.96,z_star.97,z_star.98,z_star.99,z_star.100,z_star.101,z_star.102,z_star.103,z_star.104,z_star.105,z_star.106,z_star.107,z_star.108,z_star.109,z_star.110,z_star.111,z_star.112,z_star.113,z_star.114,z_star.115,z_star.116,z_star.117,z_star.118,z_star.119,z_star.120,z_star.121,z_star.122,z_star.123,z_star.124,z_star.125,z_star.126,z_star.127,z_star.128,z_star.129,z_star.130,z_star.131,z_star.132,z_star.133,z_star.134,z_star.135,z_star.136,z_star.137,z_star.138,z_star.139,z_star.140,z_star.141,z_star.142,z_star.143,z_star.144,z_star.145,z_star.146,z_star.147,z_star.148,z_star.149,z_star.150,z_star.151,z_star.152,z_star.153,z_star.154,z_star.155,z_star.156,z_star.157,z_star.158,z_star.159,z_star.160,z_star.161,z_star.162,z_star.163,z_star.164,z_star.165,z_star.166,z_star.167,z_star.168,z_star.169,z_star.170,z_star.171,z_star.172,z_star.173,z_star.174,z_star.175,z_star.176,z_star.177,z_star.178,z_star.179,z_star.180,z_star.181,z_star.182,z_star.183,z_star.184,z_star.185,z_star.186,z_star.187,z_star.188,z_star.189,z_star.190,z_star.191,z_star.192,z_star.193,z_star.194,z_star.195,z_star.196,z_star.197,z_star.198,z_star.199,z_star.200,z_star.201,z_star.202,z_star.203,z_star.204,z_star.205,z_star.206,z_star.207,z_star.208,z_star.209,z_star.210,z_star.211,z_star.212,z_star.213,z_star.214,z_star.215,z_star.216,z_star.217,z_star.218,z_star.219,z_star.220,z_star.221,z_star.222,z_star.223,z_star.224,z_star.225,z_star.226,z_star.227,z_star.228,z_star.229,z_star.230,z_star.231,z_star.232,z_star.233,z_star.234,z_star.235,z_star.236,z_star.237,z_star.238,z_star.239,z_star.240,z_star.241,z_star.242,z_star.243,z_star.244,z_star.245,z_star.246,z_star.247,z_star.248,z_star.249,z_star.250,z_star.251,z_star.252,z_star.253,z_star.254,z_star.255,z_star.256,z_star.257,z_star.258,z_star.259,z_star.260,z_star.261,z_star.262,z_star.263,z_star.264,z_star.265,z_star.266,z_star.267,z_star.268,z_star.269,z_star.270,z_star.271,z_star.272,z_star.273,z_star.274,z_star.275,z_star.276,z_star.277,z_star.278,z_star.279,z_star.280,z_star.281,z_star.282,z_star.283,z_star.284,z_star.285,z_star.286,z_star.287,z_star.288,z_star.289,z_star.290,z_star.291,z_star.292,z_star.293,z_star.294,z_star.295,z_star.296,z_star.297,z_star.298,z_star.299,z_star.300,log_p_z_star
# Adaptation terminated
# Step size = 0.0750374
# Diagonal elements of inverse mass matrix:
# 7.46796, 4.85379, 9.34909, 7.42045, 1.06153e-05, 1.44715e-05, 1.20653e-05, 2.33827e-05, 28.5004, 28.7323, 68.7595, 20.9506, 1.09932e-05, 1.45366e-05, 1.28843e-05, 2.33957e-05, 6.0089, 6.0708, 0.00032159, 0.00218015, 44.8629, 18.5989, 0.000482454, 0.00221525, 0.336977, 0.422865, 0.440028, 0.00345927, 0.103045, 0.00309624, 0.428352, 0.472322, 0.789426, 0.00388022, 0.102549, 0.00322887, 0.876574, 1.04602, 1.03399, 0.779706, 0.902627, 0.992777, 0.216388, 0.549295, 0.928985, 0.0485638, 0.173528, 0.5686, 1.05316, 1.10769, 0.931865, 0.961059, 0.901745, 1.15323, 0.487769, 0.538007, 0.526571, 0.195171, 0.299005, 0.231337, 0.98147, 1.07071, 0.870986, 0.596489, 0.746042, 0.865654, 0.961117, 1.06631, 1.08356, 0.887958, 0.768196, 0.926253
115.362,0.96506,0.0750374,6,63,0,-84.3696,0.433941,0.997949,-2.49226,0.99764,0.428271,0.0224224,-10.4041,0.0209235,-2.3719,-0.149138,1.23182,-0.148911,-5.05414,1.00273,0.745496,0.99411,-0.592571,0.0186023,-2.14718,-0.042603,-3.88058,-0.19842,3.44995,0.202112,1.07973,91.5183,0.882235,78.9978,-0.487319,3.01266,-0.186127,6.83719,-0.487319,3.01266,-0.186127,6.83719,0.304118,12.8515,0.0532355,14.9649,2.26634,-1.0297,-0.133334,2.01642,-0.269608,2.80491,0.786292,2.53044,0.0472621,1.42809,0.516857,2.61141,-0.0256874,0.239119,2.78001,-0.568818,-0.957981,-0.644974,1.2784,0.156148,1.62371,1.08748,-0.763798,-0.381878,1.11501,-1.29584,0.215652,1.41503,-0.593916,2.67068,0.269717,0.880987,1.5464,0.589883,2.90116,1.19543,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,381.094
115.264,0.976852,0.0750374,6,63,0,-73.9337,0.821697,0.998413,-4.80225,0.998158,2.10481,0.0229952,-12.41,0.0217304,0.244254,-0.149507,1.50187,-0.148818,2.73281,0.997059,-0.474109,1.00471,1.38597,0.0201447,-2.64929,-0.00790456,-3.74622,-0.207708,2.05046,0.233785,3.66095,78.7517,0.439458,73.962,0.227014,-0.0698093,-0.160176,5.34563,0.227014,-0.0698093,-0.160176,5.34563,0.266722,13.4004,0.0863929,16.4705,0.779162,-1.37119,1.33129,1.46305,-1.24864,2.62509,-0.528673,1.80807,0.915734,1.55169,1.0501,2.5904,0.331254,0.195443,0.963972,0.0352365,-1.06803,0.57613,1.139,0.261543,-0.457873,1.51974,1.88293,-0.352132,1.07712,-1.18154,2.89431,-0.841026,-1.87984,2.4973,-0.60835,-0.718998,0.558795,0.949084,0.393913,1.74698,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,366.725
121.29,0.991626,0.0750374,6,63,0,-88.9739,0.0154542,0.998398,-3.72361,0.99829,1.89519,0.0224348,-8.38441,0.0241684,-2.14415,-0.149667,1.62616,-0.149923,3.14099,1.00042,0.921178,0.994556,3.35869,0.0285111,-1.58002,-0.0214537,-3.68045,-0.260719,-0.964877,0.250462,2.43891,75.6763,0.452554,76.3992,1.89918,4.91056,-0.240639,8.07242,1.89918,4.91056,-0.240639,8.07242,1.54198,14.6015,0.135195,14.4816,0.258742,-1.70219,0.365243,1.28675,-0.493327,2.38887,-0.0592238,2.1606,1.53962,1.82565,0.939633,3.16147,-0.648351,-0.0369739,1.05395,-0.102238,-0.70184,0.401158,1.88404,0.581954,-1.32869,1.68538,2.24729,0.342192,0.811291,-0.90958,1.18981,-0.969541,0.15058,2.21255,-0.470924,-0.66315,0.926136,2.50664,0.444074,0.924131,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,370.009
123.322,0.887605,0.0750374,6,63,0,-76.755,1.23958,0.997593,-0.697928,0.999053,0.352069,0.0241907,-6.56117,0.0224437,1.60834,-0.150566,-2.43866,-0.148433,-0.776652,1.00578,-1.2693,0.994587,3.20205,0.034383,-3.39496,-0.00437495,-3.26446,-0.231083,-6.92571,0.238603,1.70654,78.3793,0.3946,86.3617,1.36789,5.79317,-0.0936566,4.68446,1.36789,5.79317,-0.0936566,4.68446,1.21894,14.3119,0.0377681,14.9881,1.98975,-1.41378,-0.526096,1.55653,-0.256602,2.48843,-1.08232,2.02067,1.53326,1.12588,0.736861,2.70886,0.368078,-0.000828717,-0.170718,-0.210445,1.05927,0.692748,2.02117,0.577025,1.27107,0.942839,2.36749,-0.0542751,0.640682,-1.42679,1.3302,-1.27437,1.77365,1.54182,-1.06069,-0.229484,0.733459,1.87461,-0.418402,0.987225,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,379.984
113.591,0.979194,0.0750374,6,63,0,-79.0938,3.58346,1.00012,8.66951,0.99822,0.0397336,0.0198264,4.22262,0.0244759,1.17813,-0.149447,4.27002,-0.14858,0.940379,1.00635,3.41165,0.996676,1.2538,-0.010096,3.89866,-0.013158,-0.339157,-0.199558,5.03978,0.25833,0.258701,73.9578,0.35382,62.1409,-0.0326601,3.69494,-0.432561,6.30107,-0.0326601,3.69494,-0.432561,6.30107,0.7145,17.3707,0.58473,13.6639,-0.0290314,-0.40487,3.3783,2.97779,2.37172,1.80152,2.77122,1.82384,2.57382,1.95522,2.05243,1.29494,2.17387,-0.156678,1.97979,0.179275,2.19545,0.223237,0.92096,0.273831,-0.687964,2.33431,1.02035,0.35842,1.59969,-2.93807,1.05928,2.98764,1.59631,1.53122,3.46309,2.03897,1.83565,0.128002,2.24294,0.623484,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,349.69
125.859,0.991052,0.0750374,6,63,0,-82.6321,-0.233821,0.997627,-0.280667,0.997363,0.707134,0.0211717,3.40532,0.0263164,0.416729,-0.151109,0.43472,-0.15119,0.788332,0.997681,-0.944542,1.00201,0.860411,0.041329,-0.731724,-0.0304815,-0.27431,-0.161601,-2.70483,0.334243,0.671777,82.9472,1.53828,80.4863,0.182518,6.32089,0.327306,1.22957,0.182518,6.32089,0.327306,1.22957,2.55077,13.7132,0.362764,16.9676,2.05094,-0.396228,-1.25272,1.04584,-0.113692,1.94221,-0.64465,2.10821,-0.395811,0.042625,-0.251421,2.11852,-0.223079,0.0881432,-0.0115195,-0.387511,-0.20698,0.261566,1.05999,0.911824,1.93114,0.531065,0.965973,0.0540217,0.583621,-2.06884,0.886851,-1.84983,0.733153,1.69858,-1.21612,0.565706,0.155672,1.86765,0.194611,0.827212,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,374.864
