# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = r_slds_model
# start_datetime = 2024-03-09 21:17:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpHL0jKJ/standata-76f4662a6cef.json
# init = 2 (Default)
# random
#   seed = 771505966
# output
#   file = /home/guglielmo/PoD/Y2.1/ITI/project/out/r-slds-202403092217-2-24d933.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/guglielmo/PoD/Y2.1/ITI/project/out/r-slds-profile-202403092217-2-063f73.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --name=r-slds_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,A.1.1.1,A.2.1.1,A.3.1.1,A.4.1.1,A.1.2.1,A.2.2.1,A.3.2.1,A.4.2.1,A.1.1.2,A.2.1.2,A.3.1.2,A.4.1.2,A.1.2.2,A.2.2.2,A.3.2.2,A.4.2.2,b.1.1,b.2.1,b.3.1,b.4.1,b.1.2,b.2.2,b.3.2,b.4.2,Q.1.1.1,Q.2.1.1,Q.3.1.1,Q.4.1.1,Q.1.2.1,Q.2.2.1,Q.3.2.1,Q.4.2.1,Q.1.1.2,Q.2.1.2,Q.3.1.2,Q.4.1.2,Q.1.2.2,Q.2.2.2,Q.3.2.2,Q.4.2.2,R.1.1.1,R.2.1.1,R.3.1.1,R.4.1.1,R.1.2.1,R.2.2.1,R.3.2.1,R.4.2.1,R.1.3.1,R.2.3.1,R.3.3.1,R.4.3.1,R.1.1.2,R.2.1.2,R.3.1.2,R.4.1.2,R.1.2.2,R.2.2.2,R.3.2.2,R.4.2.2,R.1.3.2,R.2.3.2,R.3.3.2,R.4.3.2,r.1.1,r.2.1,r.3.1,r.4.1,r.1.2,r.2.2,r.3.2,r.4.2,r.1.3,r.2.3,r.3.3,r.4.3,z_star.1,z_star.2,z_star.3,z_star.4,z_star.5,z_star.6,z_star.7,z_star.8,z_star.9,z_star.10,z_star.11,z_star.12,z_star.13,z_star.14,z_star.15,z_star.16,z_star.17,z_star.18,z_star.19,z_star.20,z_star.21,z_star.22,z_star.23,z_star.24,z_star.25,z_star.26,z_star.27,z_star.28,z_star.29,z_star.30,z_star.31,z_star.32,z_star.33,z_star.34,z_star.35,z_star.36,z_star.37,z_star.38,z_star.39,z_star.40,z_star.41,z_star.42,z_star.43,z_star.44,z_star.45,z_star.46,z_star.47,z_star.48,z_star.49,z_star.50,z_star.51,z_star.52,z_star.53,z_star.54,z_star.55,z_star.56,z_star.57,z_star.58,z_star.59,z_star.60,z_star.61,z_star.62,z_star.63,z_star.64,z_star.65,z_star.66,z_star.67,z_star.68,z_star.69,z_star.70,z_star.71,z_star.72,z_star.73,z_star.74,z_star.75,z_star.76,z_star.77,z_star.78,z_star.79,z_star.80,z_star.81,z_star.82,z_star.83,z_star.84,z_star.85,z_star.86,z_star.87,z_star.88,z_star.89,z_star.90,z_star.91,z_star.92,z_star.93,z_star.94,z_star.95,z_star.96,z_star.97,z_star.98,z_star.99,z_star.100,z_star.101,z_star.102,z_star.103,z_star.104,z_star.105,z_star.106,z_star.107,z_star.108,z_star.109,z_star.110,z_star.111,z_star.112,z_star.113,z_star.114,z_star.115,z_star.116,z_star.117,z_star.118,z_star.119,z_star.120,z_star.121,z_star.122,z_star.123,z_star.124,z_star.125,z_star.126,z_star.127,z_star.128,z_star.129,z_star.130,z_star.131,z_star.132,z_star.133,z_star.134,z_star.135,z_star.136,z_star.137,z_star.138,z_star.139,z_star.140,z_star.141,z_star.142,z_star.143,z_star.144,z_star.145,z_star.146,z_star.147,z_star.148,z_star.149,z_star.150,z_star.151,z_star.152,z_star.153,z_star.154,z_star.155,z_star.156,z_star.157,z_star.158,z_star.159,z_star.160,z_star.161,z_star.162,z_star.163,z_star.164,z_star.165,z_star.166,z_star.167,z_star.168,z_star.169,z_star.170,z_star.171,z_star.172,z_star.173,z_star.174,z_star.175,z_star.176,z_star.177,z_star.178,z_star.179,z_star.180,z_star.181,z_star.182,z_star.183,z_star.184,z_star.185,z_star.186,z_star.187,z_star.188,z_star.189,z_star.190,z_star.191,z_star.192,z_star.193,z_star.194,z_star.195,z_star.196,z_star.197,z_star.198,z_star.199,z_star.200,z_star.201,z_star.202,z_star.203,z_star.204,z_star.205,z_star.206,z_star.207,z_star.208,z_star.209,z_star.210,z_star.211,z_star.212,z_star.213,z_star.214,z_star.215,z_star.216,z_star.217,z_star.218,z_star.219,z_star.220,z_star.221,z_star.222,z_star.223,z_star.224,z_star.225,z_star.226,z_star.227,z_star.228,z_star.229,z_star.230,z_star.231,z_star.232,z_star.233,z_star.234,z_star.235,z_star.236,z_star.237,z_star.238,z_star.239,z_star.240,z_star.241,z_star.242,z_star.243,z_star.244,z_star.245,z_star.246,z_star.247,z_star.248,z_star.249,z_star.250,z_star.251,z_star.252,z_star.253,z_star.254,z_star.255,z_star.256,z_star.257,z_star.258,z_star.259,z_star.260,z_star.261,z_star.262,z_star.263,z_star.264,z_star.265,z_star.266,z_star.267,z_star.268,z_star.269,z_star.270,z_star.271,z_star.272,z_star.273,z_star.274,z_star.275,z_star.276,z_star.277,z_star.278,z_star.279,z_star.280,z_star.281,z_star.282,z_star.283,z_star.284,z_star.285,z_star.286,z_star.287,z_star.288,z_star.289,z_star.290,z_star.291,z_star.292,z_star.293,z_star.294,z_star.295,z_star.296,z_star.297,z_star.298,z_star.299,z_star.300,log_p_z_star
# Adaptation terminated
# Step size = 0.0728609
# Diagonal elements of inverse mass matrix:
# 22.5139, 8.79141, 47.7696, 15.1413, 41.0341, 30.2601, 53.8456, 27.7179, 8.87099, 14.1598, 7.76262, 14.1078, 9.96299e-06, 1.04254e-05, 1.05439e-05, 1.65072e-05, 17.9415, 10.0393, 34.1773, 16.7707, 5.60233, 12.6496, 3.50466e-05, 0.00025211, 0.410333, 0.507781, 0.664387, 0.464507, 0.494689, 0.719837, 0.276925, 0.427104, 0.579723, 0.00144401, 0.0416693, 0.00181364, 0.940867, 0.970301, 1.05658, 1.13032, 1.02252, 0.828511, 1.01932, 0.981265, 1.14015, 1.01853, 1.06288, 0.998358, 0.984611, 0.840951, 0.874506, 0.973819, 0.938823, 0.925656, 0.000514699, 0.000458097, 0.000501819, 0.00543064, 0.00589318, 0.00532363, 0.784259, 1.03431, 0.912146, 0.890156, 0.916645, 0.96846, 1.13389, 1.01769, 1.00451, 0.202053, 0.195904, 0.18011
128.2,0.993528,0.0728609,6,63,0,-95.4373,-8.97473,0.316325,-0.939309,0.999212,4.40382,-0.0412505,-18.6483,0.0120788,6.11047,-2.36748,-1.281,-0.148543,-1.98059,0.795152,10.3885,0.997219,-4.15524,-8.59669,1.02603,-0.0058034,0.345496,-0.17074,2.05876,0.00439224,0.0922728,0.0410202,0.307287,175.88,0.179007,0.152897,0.00177844,12.9251,0.179007,0.152897,0.00177844,12.9251,0.421497,4.0079,0.00858791,12.6402,1.72242,-0.885239,2.35524,0.00499879,1.62189,2.6039,1.27512,-0.0365413,-1.46278,0.416755,0.201269,-0.00362027,1.30746,1.43803,0.760122,0.104445,0.0319843,1.21971,2.55544,-0.0321378,0.214759,0.341708,2.89273,0.0552454,-0.935674,-0.641923,0.128059,-4.15459,1.33281,1.4897,1.04995,-4.18186,0.786249,0.449043,1.36266,-4.72878,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,453.727
139.049,0.740407,0.0728609,6,63,0,-89.6746,-10.1885,0.610619,-1.0773,0.999002,6.36957,1.6029,-10.9674,0.0137285,-1.16714,1.29632,1.90818,-0.149659,0.799796,-0.566408,11.5106,0.999369,-3.02351,1.40928,-0.619018,0.000302287,2.15258,0.231602,9.28491,0.00397649,0.388067,0.469443,0.455136,175.655,0.69485,0.0711118,-0.133456,12.8646,0.69485,0.0711118,-0.133456,12.8646,1.33435,0.25066,0.0541787,12.1884,-1.21327,-0.615681,0.426262,-0.00731612,0.727852,1.39402,1.56896,-0.0281578,1.70536,0.618039,1.49389,0.000565368,2.07534,1.44461,1.78297,-0.077532,1.01944,3.13969,0.630577,-0.00542892,0.420909,2.81704,3.09899,0.16678,0.481461,0.189314,1.02865,-4.39401,1.34013,0.697526,0.695505,-4.315,0.17487,-0.093316,1.46203,-4.41809,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,453.49
135.661,0.971177,0.0728609,6,63,0,-96.3987,3.83132,0.441503,-3.01348,0.999032,-1.92506,-1.06829,-8.55668,0.012915,-0.0403787,0.0949779,2.50756,-0.148583,1.62991,6.24883,9.81989,0.990548,-5.75437,1.96006,2.2448,-0.000366395,2.14243,0.0411166,4.91793,0.00108744,0.374777,0.362663,1.81566,128.463,0.896325,0.0619942,-0.593172,9.51809,0.896325,0.0619942,-0.593172,9.51809,2.65146,0.241088,0.214417,16.4451,2.783,2.39465,1.27634,0.0197496,1.41807,1.11864,0.176995,0.02462,0.508293,1.35874,0.532553,0.000721311,-0.0590299,0.678678,0.0371846,0.0607837,0.602381,-0.984401,1.50418,0.0171288,1.56266,-0.534514,-1.17527,-0.149266,2.67866,2.42875,1.05777,-4.21924,0.865478,0.963974,1.28102,-3.90658,2.00052,1.80141,0.670521,-4.06055,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,403.577
147.225,0.995173,0.0728609,6,63,0,-111.499,1.84777,2.19243,-1.08823,0.999133,0.177993,-1.06173,0.346175,0.0127061,-0.197967,2.30743,3.42038,-0.148707,1.15069,5.12076,1.81969,1.00096,0.70986,1.94468,-3.16433,0.00198389,-1.07133,0.889596,-2.03618,-0.00404767,2.75439,0.402296,0.358425,162.228,-1.84759,-0.115271,0.0631997,7.3286,-1.84759,-0.115271,0.0631997,7.3286,4.11521,0.429775,1.09678,12.0937,-1.01235,-0.417443,1.28415,-0.0158161,0.652198,0.7192,1.32686,-0.0268668,1.27849,0.734951,1.20349,-0.00101284,2.6082,0.860519,2.45242,-0.0511757,1.39336,3.09958,0.272323,-0.00486174,0.720933,2.91318,2.81622,0.158409,0.554289,0.895737,0.762207,-3.9887,1.50664,0.515129,0.441405,-4.30427,-0.868731,0.0569979,2.10167,-4.26847,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,438.956
150.511,0.879364,0.0728609,6,63,0,-113.192,2.88402,1.16763,1.40673,0.998848,-0.990619,0.689815,-1.2732,0.0137022,0.14599,-1.00015,-5.45636,-0.149528,-0.501998,-3.0537,-2.10779,0.994576,-2.28305,-0.672547,1.4834,-0.00387475,5.30046,-0.946848,2.64937,-0.0104944,0.507761,2.11629,0.372983,136.042,0.383225,-0.466294,-0.411056,11.5593,0.383225,-0.466294,-0.411056,11.5593,0.342379,0.316735,0.569134,15.5537,1.09335,0.494514,0.142583,0.00290458,2.8545,1.71891,1.95963,-0.0062784,1.63005,-1.38222,2.33599,-0.00178614,0.121772,1.54972,-0.0686952,0.141053,0.979311,0.806836,1.69132,0.0052036,1.98031,0.447675,0.786858,-0.0621809,-0.244559,1.95688,1.29707,-4.26819,-1.17683,0.200742,1.13881,-4.03803,0.716505,-0.147272,1.5184,-3.92133,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,416.387
154.567,0.877484,0.0728609,6,63,0,-117.174,0.532515,1.90931,-0.579113,0.998926,0.588502,-5.06302,-2.90915,0.0137273,0.307333,-0.0882522,-2.43395,-0.150077,1.37272,3.464,-1.37616,1.00096,3.31736,-0.556151,1.17135,-0.00454243,-1.5533,2.76156,2.62967,0.00903202,1.02725,1.55812,1.96807,140.145,0.634993,0.323627,-1.48077,6.66912,0.634993,0.323627,-1.48077,6.66912,2.44004,0.122329,1.36005,13.8041,-0.0788878,2.04562,-0.702918,0.031216,0.736591,1.79033,1.58591,-0.00276005,0.273425,-0.523291,0.899235,0.0129705,2.22838,1.16639,1.77078,-0.0608361,1.30868,1.02932,2.40649,-0.0830164,1.73968,2.41832,-0.155598,-0.16146,2.21541,1.66034,0.940334,-4.2857,0.42156,0.416803,1.34886,-4.59073,1.72237,1.0893,-0.718133,-4.33868,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,421.97
