# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = r_slds_model
# start_datetime = 2024-03-10 11:53:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpB9Ngvp/standata-4e566cf53002.json
# init = 2 (Default)
# random
#   seed = 1815463830
# output
#   file = /home/guglielmo/PoD/Y2.1/ITI/project/out/r-slds-202403101253-1-20a082.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/guglielmo/PoD/Y2.1/ITI/project/out/r-slds-profile-202403101253-1-3c379c.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --name=r-slds_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,A.1.1.1,A.2.1.1,A.3.1.1,A.4.1.1,A.1.2.1,A.2.2.1,A.3.2.1,A.4.2.1,A.1.1.2,A.2.1.2,A.3.1.2,A.4.1.2,A.1.2.2,A.2.2.2,A.3.2.2,A.4.2.2,b.1.1,b.2.1,b.3.1,b.4.1,b.1.2,b.2.2,b.3.2,b.4.2,Q.1.1.1,Q.2.1.1,Q.3.1.1,Q.4.1.1,Q.1.2.1,Q.2.2.1,Q.3.2.1,Q.4.2.1,Q.1.1.2,Q.2.1.2,Q.3.1.2,Q.4.1.2,Q.1.2.2,Q.2.2.2,Q.3.2.2,Q.4.2.2,R.1.1.1,R.2.1.1,R.3.1.1,R.4.1.1,R.1.2.1,R.2.2.1,R.3.2.1,R.4.2.1,R.1.3.1,R.2.3.1,R.3.3.1,R.4.3.1,R.1.1.2,R.2.1.2,R.3.1.2,R.4.1.2,R.1.2.2,R.2.2.2,R.3.2.2,R.4.2.2,R.1.3.2,R.2.3.2,R.3.3.2,R.4.3.2,r.1.1,r.2.1,r.3.1,r.4.1,r.1.2,r.2.2,r.3.2,r.4.2,r.1.3,r.2.3,r.3.3,r.4.3,z_star.1,z_star.2,z_star.3,z_star.4,z_star.5,z_star.6,z_star.7,z_star.8,z_star.9,z_star.10,z_star.11,z_star.12,z_star.13,z_star.14,z_star.15,z_star.16,z_star.17,z_star.18,z_star.19,z_star.20,z_star.21,z_star.22,z_star.23,z_star.24,z_star.25,z_star.26,z_star.27,z_star.28,z_star.29,z_star.30,z_star.31,z_star.32,z_star.33,z_star.34,z_star.35,z_star.36,z_star.37,z_star.38,z_star.39,z_star.40,z_star.41,z_star.42,z_star.43,z_star.44,z_star.45,z_star.46,z_star.47,z_star.48,z_star.49,z_star.50,z_star.51,z_star.52,z_star.53,z_star.54,z_star.55,z_star.56,z_star.57,z_star.58,z_star.59,z_star.60,z_star.61,z_star.62,z_star.63,z_star.64,z_star.65,z_star.66,z_star.67,z_star.68,z_star.69,z_star.70,z_star.71,z_star.72,z_star.73,z_star.74,z_star.75,z_star.76,z_star.77,z_star.78,z_star.79,z_star.80,z_star.81,z_star.82,z_star.83,z_star.84,z_star.85,z_star.86,z_star.87,z_star.88,z_star.89,z_star.90,z_star.91,z_star.92,z_star.93,z_star.94,z_star.95,z_star.96,z_star.97,z_star.98,z_star.99,z_star.100,z_star.101,z_star.102,z_star.103,z_star.104,z_star.105,z_star.106,z_star.107,z_star.108,z_star.109,z_star.110,z_star.111,z_star.112,z_star.113,z_star.114,z_star.115,z_star.116,z_star.117,z_star.118,z_star.119,z_star.120,z_star.121,z_star.122,z_star.123,z_star.124,z_star.125,z_star.126,z_star.127,z_star.128,z_star.129,z_star.130,z_star.131,z_star.132,z_star.133,z_star.134,z_star.135,z_star.136,z_star.137,z_star.138,z_star.139,z_star.140,z_star.141,z_star.142,z_star.143,z_star.144,z_star.145,z_star.146,z_star.147,z_star.148,z_star.149,z_star.150,z_star.151,z_star.152,z_star.153,z_star.154,z_star.155,z_star.156,z_star.157,z_star.158,z_star.159,z_star.160,z_star.161,z_star.162,z_star.163,z_star.164,z_star.165,z_star.166,z_star.167,z_star.168,z_star.169,z_star.170,z_star.171,z_star.172,z_star.173,z_star.174,z_star.175,z_star.176,z_star.177,z_star.178,z_star.179,z_star.180,z_star.181,z_star.182,z_star.183,z_star.184,z_star.185,z_star.186,z_star.187,z_star.188,z_star.189,z_star.190,z_star.191,z_star.192,z_star.193,z_star.194,z_star.195,z_star.196,z_star.197,z_star.198,z_star.199,z_star.200,z_star.201,z_star.202,z_star.203,z_star.204,z_star.205,z_star.206,z_star.207,z_star.208,z_star.209,z_star.210,z_star.211,z_star.212,z_star.213,z_star.214,z_star.215,z_star.216,z_star.217,z_star.218,z_star.219,z_star.220,z_star.221,z_star.222,z_star.223,z_star.224,z_star.225,z_star.226,z_star.227,z_star.228,z_star.229,z_star.230,z_star.231,z_star.232,z_star.233,z_star.234,z_star.235,z_star.236,z_star.237,z_star.238,z_star.239,z_star.240,log_p_z_star
# Adaptation terminated
# Step size = 0.0767358
# Diagonal elements of inverse mass matrix:
# 1.23994e-05, 1.39915e-05, 1.55331e-05, 2.01994e-05, 27.3767, 11.0345, 36.2964, 11.1316, 8.38814, 16.9748, 6.84854, 11.6339, 18.3873, 12.4813, 7.56103, 6.18407, 0.000219485, 0.000380243, 29.0935, 12.0582, 7.31879, 8.7914, 7.88186, 6.37159, 0.00204866, 0.0527258, 0.00193648, 0.51883, 0.461323, 0.528944, 0.301322, 0.417068, 0.562863, 0.328624, 0.432964, 0.504843, 0.0035343, 0.980252, 0.877111, 0.00749917, 0.812107, 1.1156, 0.948874, 1.16908, 1.03418, 1.05081, 0.881703, 1.20705, 0.887306, 1.09919, 1.05159, 0.954951, 1.06329, 0.90057, 0.899983, 1.04929, 0.918476, 0.950449, 0.971977, 1.07376, 0.260153, 1.11308, 1.12904, 1.18891, 1.0729, 0.9055, 0.88027, 1.03834, 1.03939, 1.14016, 0.912805, 1.15782
-146.725,0.887074,0.0767358,6,63,0,177.69,0.996346,17.6384,-3.17455,4.89041,0.0585346,-5.23896,4.13117,-1.41082,-0.118203,8.38789,1.56096,0.123329,0.995114,-3.23415,-2.42519,0.457668,0.00842821,6.4728,5.39765,-2.73955,0.0241755,-1.93971,-7.62926,1.09187,18.0789,0.0967249,0.230043,0.11751,0.198674,0.296145,0.175286,0.27836,0.198674,0.296145,0.175286,0.27836,12.4404,0.983138,0.197248,1.34411,-0.10537,1.66642,0.73668,0.439971,-0.686519,1.1035,-0.0787594,2.62738,0.881722,1.1877,-0.421058,1.4844,-0.0289885,1.46537,1.38483,-0.860203,1.49915,2.65417,-0.0990957,1.72109,1.04925,0.36386,2.89524,0.51358,4.2892,0.805733,0.863145,-0.491609,-0.368155,0.992845,2.3021,1.10163,2.19409,-0.733919,3.02615,1.10271,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-17.1563
-142.306,0.915162,0.0767358,6,63,0,188.624,0.995591,1.84763,2.48725,-0.649357,0.0585195,1.6704,0.170151,1.414,-0.118595,1.79818,15.9048,-0.493985,0.995667,5.88668,-1.50968,-0.151807,-0.00704552,2.56146,10.5627,0.742143,-0.0240564,4.40008,-1.97601,0.706519,18.7945,1.65892,0.0814769,0.823786,1.31412,-0.70187,0.476981,-0.544779,1.31412,-0.70187,0.476981,-0.544779,10.8927,0.364454,3.39405,1.84984,0.125887,0.335189,1.62234,1.5726,2.79197,0.912984,2.16529,-0.458109,1.24131,0.866022,2.36145,0.0803656,0.00327542,0.525821,0.760328,2.7916,0.536981,-0.707519,2.1542,-0.0808637,0.998448,1.43137,-1.07955,1.46916,4.8774,1.20498,1.20702,2.47787,2.33926,0.745228,-0.0417726,-0.293427,-0.162886,3.05723,-1.29204,0.903976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-15.7011
-140.391,0.685709,0.0767358,6,63,0,173.225,0.99824,0.143667,4.70745,-2.97879,0.0574516,1.09421,-3.2645,1.28545,-0.117541,1.597,5.87974,-1.526,0.997743,3.69919,-4.35425,0.835567,-0.00020821,1.37877,13.4865,2.14664,-0.020786,5.04581,-12.1798,-0.939356,16.7703,2.35921,4.2164,0.472563,0.128076,-0.817172,4.52734,0.612929,0.128076,-0.817172,4.52734,0.612929,11.1718,0.295486,4.88076,1.28446,-0.0241282,1.38474,-0.405684,0.819622,0.0922938,-0.204989,0.20946,2.53706,1.91132,1.20232,-0.937818,1.4973,0.0546248,1.15807,1.04058,-0.818227,1.23431,1.63082,1.04225,0.782866,-0.419645,0.479988,1.19095,0.726302,4.01945,0.486013,0.602366,0.61331,0.391742,0.097963,0.991729,1.19921,1.8477,-0.309152,2.91234,2.24252,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-19.1776
-132.257,0.98756,0.0767358,6,63,0,165.065,0.994683,0.643475,1.68941,-0.465157,0.0572624,-5.61012,-0.984284,-1.32723,-0.118306,-2.02612,4.29488,0.385572,0.995847,-1.12641,-1.63813,0.879543,-0.0197669,2.30536,16.7186,-1.25248,-0.0039399,2.73719,-10.3128,0.175074,19.8624,0.250776,0.917814,1.53519,-0.46336,0.0180287,1.5028,-0.377131,-0.46336,0.0180287,1.5028,-0.377131,13.613,0.211117,2.48627,1.36949,0.0230384,0.231287,0.694516,2.21001,1.04129,1.54435,1.55813,0.413466,1.68147,1.48093,0.395325,2.08183,0.0154874,1.27894,0.376053,1.11401,1.27977,0.385811,0.477366,2.03628,1.77052,1.00952,2.78289,0.0286557,3.83327,0.603685,1.45055,1.23289,1.83223,2.46986,1.38878,0.208576,0.429061,1.84384,1.14879,0.985487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-16.7583
-145.437,0.949178,0.0767358,6,63,0,168.364,0.998716,0.606123,5.01686,4.1568,0.0558835,0.561822,-3.14075,1.3052,-0.11754,1.08006,-0.373587,0.419853,0.992866,-1.31223,0.187927,1.05257,-0.0282237,-2.90222,18.2966,3.69836,-0.00988868,-0.429811,-10.4428,1.4079,18.6489,0.224391,0.252436,0.303997,0.63883,-0.0749686,0.430573,-0.759737,0.63883,-0.0749686,0.430573,-0.759737,12.3998,0.0688094,0.759223,2.46485,-0.0302485,0.811369,0.0440469,2.2113,1.1608,1.2076,0.987345,0.446929,-0.803717,1.06242,0.781501,2.38899,0.00555193,-0.649743,2.29945,1.41145,0.879708,0.728384,-0.0892792,2.57696,1.76639,0.392184,2.2392,-0.44412,3.88878,0.903817,2.47143,2.35155,0.434603,3.31826,2.58336,1.81901,1.03822,1.66594,-1.13748,1.0965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-18.6829
-144.456,0.950367,0.0767358,6,63,0,183.694,0.999006,0.9826,-11.7556,-1.13886,0.0590367,-0.191569,6.04152,-0.419538,-0.1183,-0.477192,6.30903,-0.408374,0.999359,-1.62655,-2.14248,1.52339,0.028019,-5.39482,7.05826,2.38368,0.00303507,6.71159,-4.47565,-0.382031,17.9309,0.22466,0.539892,0.61825,1.2311,0.156959,0.929472,0.149132,1.2311,0.156959,0.929472,0.149132,10.7791,0.17622,1.64347,2.52705,0.0424727,0.89224,1.57664,-0.243438,0.989975,0.85091,1.0115,1.54958,2.65677,1.15304,1.21925,-0.809175,0.0358597,2.77134,-0.488132,0.665614,0.964566,1.11396,2.03692,-0.314006,0.253548,1.27169,0.327963,2.38115,4.86516,1.13965,-0.608656,-0.320395,1.56941,-1.25839,-0.694724,0.452237,1.00759,0.217018,3.18492,0.787662,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-18.5747
