# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = r_slds_model
# start_datetime = 2024-03-10 11:53:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpB9Ngvp/standata-4e566cf53002.json
# init = 2 (Default)
# random
#   seed = 1815463830
# output
#   file = /home/guglielmo/PoD/Y2.1/ITI/project/out/r-slds-202403101253-2-20a082.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/guglielmo/PoD/Y2.1/ITI/project/out/r-slds-profile-202403101253-2-3c379c.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --name=r-slds_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,A.1.1.1,A.2.1.1,A.3.1.1,A.4.1.1,A.1.2.1,A.2.2.1,A.3.2.1,A.4.2.1,A.1.1.2,A.2.1.2,A.3.1.2,A.4.1.2,A.1.2.2,A.2.2.2,A.3.2.2,A.4.2.2,b.1.1,b.2.1,b.3.1,b.4.1,b.1.2,b.2.2,b.3.2,b.4.2,Q.1.1.1,Q.2.1.1,Q.3.1.1,Q.4.1.1,Q.1.2.1,Q.2.2.1,Q.3.2.1,Q.4.2.1,Q.1.1.2,Q.2.1.2,Q.3.1.2,Q.4.1.2,Q.1.2.2,Q.2.2.2,Q.3.2.2,Q.4.2.2,R.1.1.1,R.2.1.1,R.3.1.1,R.4.1.1,R.1.2.1,R.2.2.1,R.3.2.1,R.4.2.1,R.1.3.1,R.2.3.1,R.3.3.1,R.4.3.1,R.1.1.2,R.2.1.2,R.3.1.2,R.4.1.2,R.1.2.2,R.2.2.2,R.3.2.2,R.4.2.2,R.1.3.2,R.2.3.2,R.3.3.2,R.4.3.2,r.1.1,r.2.1,r.3.1,r.4.1,r.1.2,r.2.2,r.3.2,r.4.2,r.1.3,r.2.3,r.3.3,r.4.3,z_star.1,z_star.2,z_star.3,z_star.4,z_star.5,z_star.6,z_star.7,z_star.8,z_star.9,z_star.10,z_star.11,z_star.12,z_star.13,z_star.14,z_star.15,z_star.16,z_star.17,z_star.18,z_star.19,z_star.20,z_star.21,z_star.22,z_star.23,z_star.24,z_star.25,z_star.26,z_star.27,z_star.28,z_star.29,z_star.30,z_star.31,z_star.32,z_star.33,z_star.34,z_star.35,z_star.36,z_star.37,z_star.38,z_star.39,z_star.40,z_star.41,z_star.42,z_star.43,z_star.44,z_star.45,z_star.46,z_star.47,z_star.48,z_star.49,z_star.50,z_star.51,z_star.52,z_star.53,z_star.54,z_star.55,z_star.56,z_star.57,z_star.58,z_star.59,z_star.60,z_star.61,z_star.62,z_star.63,z_star.64,z_star.65,z_star.66,z_star.67,z_star.68,z_star.69,z_star.70,z_star.71,z_star.72,z_star.73,z_star.74,z_star.75,z_star.76,z_star.77,z_star.78,z_star.79,z_star.80,z_star.81,z_star.82,z_star.83,z_star.84,z_star.85,z_star.86,z_star.87,z_star.88,z_star.89,z_star.90,z_star.91,z_star.92,z_star.93,z_star.94,z_star.95,z_star.96,z_star.97,z_star.98,z_star.99,z_star.100,z_star.101,z_star.102,z_star.103,z_star.104,z_star.105,z_star.106,z_star.107,z_star.108,z_star.109,z_star.110,z_star.111,z_star.112,z_star.113,z_star.114,z_star.115,z_star.116,z_star.117,z_star.118,z_star.119,z_star.120,z_star.121,z_star.122,z_star.123,z_star.124,z_star.125,z_star.126,z_star.127,z_star.128,z_star.129,z_star.130,z_star.131,z_star.132,z_star.133,z_star.134,z_star.135,z_star.136,z_star.137,z_star.138,z_star.139,z_star.140,z_star.141,z_star.142,z_star.143,z_star.144,z_star.145,z_star.146,z_star.147,z_star.148,z_star.149,z_star.150,z_star.151,z_star.152,z_star.153,z_star.154,z_star.155,z_star.156,z_star.157,z_star.158,z_star.159,z_star.160,z_star.161,z_star.162,z_star.163,z_star.164,z_star.165,z_star.166,z_star.167,z_star.168,z_star.169,z_star.170,z_star.171,z_star.172,z_star.173,z_star.174,z_star.175,z_star.176,z_star.177,z_star.178,z_star.179,z_star.180,z_star.181,z_star.182,z_star.183,z_star.184,z_star.185,z_star.186,z_star.187,z_star.188,z_star.189,z_star.190,z_star.191,z_star.192,z_star.193,z_star.194,z_star.195,z_star.196,z_star.197,z_star.198,z_star.199,z_star.200,z_star.201,z_star.202,z_star.203,z_star.204,z_star.205,z_star.206,z_star.207,z_star.208,z_star.209,z_star.210,z_star.211,z_star.212,z_star.213,z_star.214,z_star.215,z_star.216,z_star.217,z_star.218,z_star.219,z_star.220,z_star.221,z_star.222,z_star.223,z_star.224,z_star.225,z_star.226,z_star.227,z_star.228,z_star.229,z_star.230,z_star.231,z_star.232,z_star.233,z_star.234,z_star.235,z_star.236,z_star.237,z_star.238,z_star.239,z_star.240,log_p_z_star
# Adaptation terminated
# Step size = 0.058688
# Diagonal elements of inverse mass matrix:
# 14.6997, 17.9474, 10.931, 13.7299, 2.24405e-05, 3.48014e-05, 3.08601e-05, 5.50172e-05, 2.04012e-05, 3.34897e-05, 2.69505e-05, 4.92402e-05, 17.4119, 30.029, 19.4357, 37.6632, 18.0727, 28.6013, 0.00175711, 0.00350033, 0.00145923, 0.00343159, 15.7035, 59.3487, 0.34546, 0.424939, 0.697872, 0.00441862, 0.0951504, 0.00454829, 0.00471865, 0.104051, 0.00375441, 0.315386, 0.417382, 1.00961, 1.01451, 1.20173, 0.906964, 1.05456, 1.0115, 0.833971, 0.128694, 0.288051, 0.629294, 0.120418, 0.351719, 0.633143, 0.32587, 0.255461, 0.121389, 0.29474, 0.286086, 0.131381, 1.04536, 1.03129, 1.06169, 0.991453, 1.01434, 0.835714, 0.999769, 1.1167, 1.10387, 0.448961, 0.82949, 1.12179, 0.490508, 0.633066, 0.58448, 0.984583, 1.054, 1.09894
-105.508,0.975278,0.058688,6,63,0,143.863,0.286499,0.980696,0.973873,-7.64016,0.295339,0.0497919,0.0547455,2.62689,0.246929,-0.141407,-0.144619,-18.9547,0.508812,0.995593,0.989869,6.44095,-0.416499,0.287506,-0.331693,-2.96129,-0.426728,0.091617,0.0258968,1.47799,5.46138,16.091,25.3754,0.120293,-1.88912,1.405,3.89392,0.458103,-1.88912,1.405,3.89392,0.458103,1.15801,10.3416,12.6219,1.77184,0.566756,-0.899808,2.20501,0.190952,3.30759,1.24613,1.87203,-0.521571,1.2308,1.19141,-0.25371,0.782936,0.703475,-0.6259,1.98569,1.58555,0.932379,1.4299,1.97995,0.427865,0.947922,1.21597,-0.169364,-0.00965209,1.90411,-1.20246,-0.768738,-0.0383519,0.0155348,1.40895,0.529561,0.365748,3.04838,2.22408,2.50889,0.607867,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,28.9069
-90.6301,0.77539,0.058688,7,157,1,132.605,1.70351,0.97407,0.98264,-7.48054,-0.489826,0.0475289,0.0407362,8.33285,-0.403666,-0.145515,-0.140603,-0.137894,0.611192,0.985237,0.980877,2.21355,0.039934,0.302757,-0.274272,29.7195,-0.39396,0.115312,-0.211449,-30.9372,1.97433,22.235,30.6966,0.404846,-1.35771,3.176,6.08568,0.409057,-1.35771,3.176,6.08568,0.409057,2.80599,11.4408,13.1562,0.41823,1.21024,-0.760334,1.30331,1.25948,1.48782,2.00181,1.75769,0.446983,-0.258611,1.20115,-0.99822,0.403492,1.25209,-0.711765,1.40445,0.0326062,1.39872,2.31647,1.92677,0.210676,0.56865,1.00965,-1.16943,0.909773,1.90966,-1.43269,-0.976006,0.476659,1.37717,1.4829,-0.235701,0.0913308,3.63111,1.15332,1.37034,0.583614,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,56.0306
-93.1303,0.84831,0.058688,7,191,0,120.127,1.56545,0.976058,0.972316,7.73435,-0.152631,0.0515271,0.0504203,-15.9197,0.534688,-0.14187,-0.146289,1.03203,0.934005,0.986501,0.996107,-0.538438,0.979263,0.280526,-0.328589,-10.3276,0.618768,0.078758,-0.021781,22.456,1.77253,22.2308,30.4344,0.71558,-0.53466,1.59268,4.76878,0.300725,-0.53466,1.59268,4.76878,0.300725,0.511981,10.0169,13.2208,0.130603,0.557914,-0.81302,2.5361,1.89461,-0.328471,1.33892,2.08626,0.825598,1.61082,1.5518,-0.536824,1.04844,0.804941,-0.785459,2.61596,1.98604,0.244223,1.41865,2.41312,1.74912,0.628319,1.17205,-0.517505,1.13582,1.03439,-1.51618,-2.14151,2.42837,-0.91789,0.265327,-0.684224,2.09193,0.962152,1.71113,3.2294,-0.442065,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,56.6537
-103.102,0.768444,0.058688,6,127,0,129.601,1.18,0.977496,0.968665,12.3366,-0.247299,0.0551712,0.0586652,-20.6499,1.16866,-0.140885,-0.149967,-2.05099,2.12713,0.999603,0.98542,5.65697,1.91211,0.278502,-0.319206,-0.981124,-0.212964,0.00793826,-0.0602773,2.10811,0.782232,24.5665,25.9197,3.08266,-0.199946,1.83203,2.07725,1.66941,-0.199946,1.83203,2.07725,1.66941,1.83889,11.261,10.7953,0.905782,1.24686,-0.671101,3.12089,0.201689,1.59252,1.36913,1.08667,1.37862,0.178939,2.52484,-0.37149,0.746637,2.57828,-0.597186,3.12161,0.128545,1.09494,1.61879,1.34509,-1.45575,1.48941,0.694225,-0.37684,3.28717,1.00461,-1.04445,-0.565165,1.79584,0.85093,2.09948,-0.0586397,1.11285,0.849625,0.644718,1.96331,1.06322,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,38.8039
-102.255,0.851943,0.058688,6,63,0,142.569,3.21936,0.974499,0.980174,-8.39001,0.294659,0.0506865,0.0426195,2.18152,1.7951,-0.141324,-0.14737,2.00767,1.93269,0.97574,0.973446,1.12875,-0.682578,0.272057,-0.288609,-2.10211,-0.417501,0.15734,-0.237018,2.03188,0.260257,20.6738,24.3775,0.0501812,-0.00869996,2.68135,4.39102,-0.0338247,-0.00869996,2.68135,4.39102,-0.0338247,2.375,8.97031,14.6659,0.608042,0.618733,-0.705739,0.698922,1.83774,0.387593,1.50589,1.91674,0.672093,2.23854,1.31797,-0.542695,1.22348,-0.721382,-0.73552,0.876022,1.9577,0.958304,1.8238,2.08991,3.35592,0.866915,1.20231,-0.430401,-1.51612,1.40144,-1.66731,-0.843101,0.304817,1.05145,0.953729,0.24693,0.912158,1.04962,1.36284,3.3949,1.00028,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,38.6166
-93.2224,1,0.058688,6,63,0,128.881,0.0555961,0.974894,0.974914,4.56106,2.51904,0.0432535,0.0469498,8.25712,-0.185716,-0.143632,-0.144432,-1.89571,2.12392,0.992745,0.98076,-0.718462,0.0543899,0.283307,-0.328268,1.72963,0.0941333,0.130499,-0.166178,4.13755,3.73304,28.1661,32.0352,3.32856,1.22187,3.38631,0.675522,-1.57243,1.22187,3.38631,0.675522,-1.57243,0.758168,10.8734,11.2551,0.844597,1.92525,-1.01396,2.08737,-1.12718,2.47387,1.79534,1.00311,1.19184,-0.927457,2.58194,-0.340888,0.219044,2.4063,-1.09037,1.86972,0.0497148,0.685314,2.15555,1.11128,1.27783,0.966968,1.57803,-0.471692,1.63401,0.702317,-1.18107,-1.20847,0.687604,0.31267,1.37232,-0.272662,1.61563,0.922901,1.54211,1.52296,1.81024,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,55.5448
