# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = r_slds_simp_model
# start_datetime = 2024-03-12 18:50:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpDXnnRD/standata-a0857f18df4c.json
# init = 2 (Default)
# random
#   seed = 1343000617
# output
#   file = /home/guglielmo/PoD/Y2.1/ITI/project/out/r-slds-simp-202403121950-1-1cd788.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/guglielmo/PoD/Y2.1/ITI/project/out/r-slds-simp-profile-202403121950-1-77282c.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --name=r-slds-simp_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Z_A.1.1.1,Z_A.2.1.1,Z_A.3.1.1,Z_A.1.2.1,Z_A.2.2.1,Z_A.3.2.1,Z_A.1.1.2,Z_A.2.1.2,Z_A.3.1.2,Z_A.1.2.2,Z_A.2.2.2,Z_A.3.2.2,z_b.1.1,z_b.2.1,z_b.3.1,z_b.1.2,z_b.2.2,z_b.3.2,L_Q.1.1.1,L_Q.2.1.1,L_Q.3.1.1,L_Q.1.2.1,L_Q.2.2.1,L_Q.3.2.1,L_Q.1.1.2,L_Q.2.1.2,L_Q.3.1.2,L_Q.1.2.2,L_Q.2.2.2,L_Q.3.2.2,sigma_Q_unif.1.1,sigma_Q_unif.2.1,sigma_Q_unif.3.1,sigma_Q_unif.1.2,sigma_Q_unif.2.2,sigma_Q_unif.3.2,Z_R.1.1.1,Z_R.2.1.1,Z_R.3.1.1,Z_R.1.2.1,Z_R.2.2.1,Z_R.3.2.1,Z_R.1.1.2,Z_R.2.1.2,Z_R.3.1.2,Z_R.1.2.2,Z_R.2.2.2,Z_R.3.2.2,z_r.1.1,z_r.2.1,z_r.3.1,z_r.1.2,z_r.2.2,z_r.3.2,A.1.1.1,A.2.1.1,A.3.1.1,A.1.2.1,A.2.2.1,A.3.2.1,A.1.1.2,A.2.1.2,A.3.1.2,A.1.2.2,A.2.2.2,A.3.2.2,b.1.1,b.2.1,b.3.1,b.1.2,b.2.2,b.3.2,Q.1.1.1,Q.2.1.1,Q.3.1.1,Q.1.2.1,Q.2.2.1,Q.3.2.1,Q.1.1.2,Q.2.1.2,Q.3.1.2,Q.1.2.2,Q.2.2.2,Q.3.2.2,sigma_Q.1.1,sigma_Q.2.1,sigma_Q.3.1,sigma_Q.1.2,sigma_Q.2.2,sigma_Q.3.2,R.1.1.1,R.2.1.1,R.3.1.1,R.1.2.1,R.2.2.1,R.3.2.1,R.1.1.2,R.2.1.2,R.3.1.2,R.1.2.2,R.2.2.2,R.3.2.2,r.1.1,r.2.1,r.3.1,r.1.2,r.2.2,r.3.2,z_star.1,z_star.2,z_star.3,z_star.4,z_star.5,z_star.6,z_star.7,z_star.8,z_star.9,z_star.10,z_star.11,z_star.12,z_star.13,z_star.14,z_star.15,z_star.16,z_star.17,z_star.18,z_star.19,z_star.20,z_star.21,z_star.22,z_star.23,z_star.24,z_star.25,z_star.26,z_star.27,z_star.28,z_star.29,z_star.30,z_star.31,z_star.32,z_star.33,z_star.34,z_star.35,z_star.36,z_star.37,z_star.38,z_star.39,z_star.40,z_star.41,z_star.42,z_star.43,z_star.44,z_star.45,z_star.46,z_star.47,z_star.48,z_star.49,z_star.50,z_star.51,z_star.52,z_star.53,z_star.54,z_star.55,z_star.56,z_star.57,z_star.58,z_star.59,z_star.60,z_star.61,z_star.62,z_star.63,z_star.64,z_star.65,z_star.66,z_star.67,z_star.68,z_star.69,z_star.70,z_star.71,z_star.72,z_star.73,z_star.74,z_star.75,z_star.76,z_star.77,z_star.78,z_star.79,z_star.80,z_star.81,z_star.82,z_star.83,z_star.84,z_star.85,z_star.86,z_star.87,z_star.88,z_star.89,z_star.90,z_star.91,z_star.92,z_star.93,z_star.94,z_star.95,z_star.96,z_star.97,z_star.98,z_star.99,z_star.100,z_star.101,z_star.102,z_star.103,z_star.104,z_star.105,z_star.106,z_star.107,z_star.108,z_star.109,z_star.110,z_star.111,z_star.112,z_star.113,z_star.114,z_star.115,z_star.116,z_star.117,z_star.118,z_star.119,z_star.120,z_star.121,z_star.122,z_star.123,z_star.124,z_star.125,z_star.126,z_star.127,z_star.128,z_star.129,z_star.130,z_star.131,z_star.132,z_star.133,z_star.134,z_star.135,z_star.136,z_star.137,z_star.138,z_star.139,z_star.140,z_star.141,z_star.142,z_star.143,z_star.144,z_star.145,z_star.146,z_star.147,z_star.148,z_star.149,z_star.150,z_star.151,z_star.152,z_star.153,z_star.154,z_star.155,z_star.156,z_star.157,z_star.158,z_star.159,z_star.160,z_star.161,z_star.162,z_star.163,z_star.164,z_star.165,z_star.166,z_star.167,z_star.168,z_star.169,z_star.170,z_star.171,z_star.172,z_star.173,z_star.174,z_star.175,z_star.176,z_star.177,z_star.178,z_star.179,z_star.180,z_star.181,z_star.182,z_star.183,z_star.184,z_star.185,z_star.186,z_star.187,z_star.188,z_star.189,z_star.190,z_star.191,z_star.192,z_star.193,z_star.194,z_star.195,z_star.196,z_star.197,z_star.198,z_star.199,z_star.200,z_star.201,z_star.202,z_star.203,z_star.204,z_star.205,z_star.206,z_star.207,z_star.208,z_star.209,z_star.210,z_star.211,z_star.212,z_star.213,z_star.214,z_star.215,z_star.216,z_star.217,z_star.218,z_star.219,z_star.220,z_star.221,z_star.222,z_star.223,z_star.224,z_star.225,z_star.226,z_star.227,z_star.228,z_star.229,z_star.230,z_star.231,z_star.232,z_star.233,z_star.234,z_star.235,z_star.236,z_star.237,z_star.238,z_star.239,z_star.240
# Adaptation terminated
# Step size = 0.0117785
# Diagonal elements of inverse mass matrix:
# 0.0405062, 0.0398415, 0.0402747, 0.0396056, 0.0314863, 0.0349133, 0.0314464, 0.0349431, 5.83222e-05, 4.95069e-05, 4.00348e-05, 3.55584e-05, 0.00286352, 0.00546315, 0.00504911, 0.00604758, 0.00705579, 0.00609563, 0.0131261, 0.0130602, 0.0850376, 0.00602585, 0.0062929, 0.00594303, 0.00765178, 0.0489124, 0.0260751, 0.114908, 0.198108, 0.0846134, 0.138639, 0.661272, 0.00773517, 0.661914, 0.00771702, 3.64813e-05, 3.44619e-05, 1.20921e-05, 1.32249e-05, 0.437734, 0.657936, 1.00013, 0.490349, 0.324524, 0.376876
-1408.21,0.855211,0.0117785,8,255,0,1423.12,-0.716787,-0.417603,-0.336632,1.31879,-2.21346,1.12698,0.699504,0.34944,-1.09692,-1.33029,-0.773643,-0.326933,0.0808845,-3.2943,3.29613,0.107156,3.13138,-3.07855,1,1,1,0.261962,-0.2487,-0.0960447,0,0,0,0.965078,0.968581,0.995377,1.53576,1.53694,1.55292,1.54252,1.53727,1.54937,-0.154166,-1.67759,-0.977292,0.73658,-0.025152,0.012786,0.693986,-0.206721,-0.000464237,-1.5447,-1.00973,-1.00123,-1.05774,-1.36109,-3.96599,0.894595,3.67107,-4.16332,0.641606,0.622668,0.831684,0.659397,-0.55116,0.563489,0.349752,-0.38085,-0.548459,0.334853,0.444648,0.836534,32.6938,-32.943,1.0764,32.9565,31.3138,1.09942,2.85301,2.95296,5.59312,0.926119,-0.741607,-0.4482,0,0,0,3.41186,2.88825,4.64501,2.85301,2.95296,5.59312,3.53532,2.98194,4.66658,0.845834,-0.677592,0.0227083,0.73658,-0.025152,0.012786,0.693986,-0.206721,-0.000464237,-0.5447,-0.00972629,-0.00123329,-0.0577369,-0.361089,-2.96599,1.89459,4.67107,-3.16332,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
-1408.56,0.824291,0.0117785,8,255,0,1432.16,-1.12073,-0.590585,-0.353256,1.2475,-2.26428,1.12474,1.09615,0.18846,-1.10328,-1.23664,-0.827497,-0.338724,0.0374321,-3.20759,3.03713,-0.0225948,3.06692,-3.14397,1,1,1,0.0944235,-0.0818691,-0.0675874,0,0,0,0.995532,0.996643,0.997713,1.52835,1.53715,1.55253,1.5386,1.53907,1.55131,-0.598472,0.0306807,-0.984976,-0.44563,-0.00983617,0.00553156,0.674281,1.6201,-0.000604261,-0.587035,-0.999349,-1.00093,-2.75701,1.3245,-2.8583,1.72677,2.1278,-2.94617,0.439635,0.536177,0.823372,0.623751,-0.576571,0.562371,0.548076,-0.46134,-0.551638,0.381678,0.417721,0.830638,32.2593,-32.0759,-1.51366,31.659,30.6692,0.445281,2.35463,2.97105,5.47282,0.293202,-0.257989,-0.346722,0,0,0,3.09131,3.14066,5.11824,2.35463,2.97105,5.47282,3.10518,3.15124,5.12997,0.401528,1.03068,0.0150245,-0.44563,-0.00983617,0.00553156,0.674281,1.6201,-0.000604261,0.412965,0.000650635,-0.00093105,-1.75701,2.3245,-1.8583,2.72677,3.1278,-1.94617,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
-1412.66,0.935751,0.0117785,8,255,0,1434.42,-1.06565,-0.708664,-0.345028,1.26843,-2.54334,1.12506,1.04643,0.0563763,-1.10228,-1.27793,-1.10883,-0.327502,0.0775499,-3.25188,3.01308,0.128857,3.09907,-3.00918,1,1,1,0.130466,0.0416056,-0.278731,0,0,0,0.991453,0.999134,0.960369,1.53158,1.53438,1.556,1.54287,1.53421,1.55356,-0.511937,-0.24541,-0.987713,-0.324295,0.0670724,0.00722539,0.182079,2.24014,0.00294526,-0.395568,-0.926969,-0.998914,-2.77332,1.09516,-2.87054,1.098,1.66961,-3.39717,0.467175,0.477137,0.827486,0.634214,-0.716099,0.562529,0.523215,-0.527382,-0.55114,0.361037,0.277054,0.836249,32.6604,-32.5188,-1.75413,33.1735,30.9907,1.79317,2.54882,2.74466,6.75773,0.467044,0.113661,-1.61708,0,0,0,3.54921,2.72951,5.57165,2.54882,2.74466,6.75773,3.57981,2.73187,5.80157,0.488063,0.75459,0.0122867,-0.324295,0.0670724,0.00722539,0.182079,2.24014,0.00294526,0.604432,0.0730305,0.00108641,-1.77332,2.09516,-1.87054,2.098,2.66961,-2.39717,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
-1404.02,0.999917,0.0117785,8,255,0,1434.17,-0.735453,-0.608899,-0.354312,1.57028,-2.3373,1.12087,0.709915,0.17636,-1.10158,-1.57169,-0.904687,-0.335098,0.13428,-3.08352,3.28723,0.0708558,3.07795,-3.20797,1,1,1,0.200543,-0.211232,0.0927454,0,0,0,0.979685,0.977436,0.99569,1.52989,1.5345,1.55401,1.53861,1.54057,1.55222,-0.833614,-1.53374,-0.983806,-0.156435,0.132171,0.0143377,0.171202,1.33484,0.000461697,-0.901632,-0.85396,-0.99912,-1.61633,-0.00870804,-2.70419,1.9498,2.95645,-3.47139,0.632274,0.52702,0.822844,0.78514,-0.613079,0.560437,0.354957,-0.46739,-0.550788,0.214154,0.379126,0.832451,33.2277,-30.8352,0.98737,32.5935,30.7795,-0.194758,2.44351,2.754,5.95639,0.622927,-0.698722,0.49934,0,0,0,3.04311,3.23321,5.36078,2.44351,2.754,5.95639,3.10621,3.30784,5.38398,0.166386,-0.533736,0.0161941,-0.156435,0.132171,0.0143377,0.171202,1.33484,0.000461697,0.0983682,0.14604,0.000879747,-0.616333,0.991292,-1.70419,2.9498,3.95645,-2.47139,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
-1401.23,0.813619,0.0117785,8,511,0,1427.19,-0.854617,-0.360005,-0.339672,1.58393,-2.75963,1.11664,0.839006,0.4073,-1.09948,-1.58518,-1.31781,-0.329883,0.0403288,-3.3039,3.13785,0.0223794,3.14701,-3.11188,1,1,1,0.10877,-0.0732381,-0.00582897,0,0,0,0.994067,0.997314,0.999983,1.53276,1.53425,1.55395,1.53801,1.53801,1.5521,-0.395046,-0.588221,-0.979927,-0.0576341,-0.0702501,0.00584615,0.254749,1.88693,0.000917773,-1.2575,-1.05281,-0.998906,-1.95679,-0.12917,-4.46229,-0.13191,3.42296,-3.65747,0.572691,0.651467,0.830164,0.791966,-0.824245,0.55832,0.419503,-0.35192,-0.54974,0.207408,0.172563,0.835058,32.2882,-33.039,-0.506466,32.1087,31.4701,0.766168,2.62768,2.73516,5.93572,0.331668,-0.223276,-0.0311672,0,0,0,3.03117,3.04045,5.34686,2.62768,2.73516,5.93572,3.04926,3.04863,5.34695,0.604954,0.411779,0.0200732,-0.0576341,-0.0702501,0.00584615,0.254749,1.88693,0.000917773,-0.257496,-0.0528053,0.00109361,-0.956785,0.87083,-3.46229,0.86809,4.42296,-2.65747,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
-1404.73,0.949334,0.0117785,8,255,0,1425.27,-0.863413,-0.259475,-0.350386,1.53711,-2.47425,1.11892,0.844942,0.510161,-1.09944,-1.5402,-1.01932,-0.330569,0.0835665,-3.21547,3.19984,0.062053,3.13783,-3.10254,1,1,1,0.0784369,-0.121723,-0.457692,0,0,0,0.996919,0.992564,0.889111,1.53525,1.5365,1.55473,1.54154,1.53848,1.55349,-0.310785,-0.324424,-0.978892,-0.775835,-0.103704,0.00806164,0.807804,1.1115,0.00243776,-1.05422,-1.08975,-0.998329,-2.1616,-0.365746,-4.53749,0.666322,3.29225,-3.05895,0.568293,0.701732,0.824807,0.768556,-0.681553,0.55946,0.422471,-0.30049,-0.54972,0.229898,0.321812,0.834715,32.7206,-32.1547,0.113417,32.5055,31.3783,0.859523,2.81236,2.91498,6.22536,0.268053,-0.376535,-2.64395,0,0,0,3.4069,3.07039,5.13614,2.81236,2.91498,6.22536,3.41743,3.09339,5.77671,0.689215,0.675576,0.0211077,-0.775835,-0.103704,0.00806164,0.807804,1.1115,0.00243776,-0.0542247,-0.089748,0.00167099,-1.1616,0.634254,-3.53749,1.66632,4.29225,-2.05895,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
