# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = r_slds_simp_model
# start_datetime = 2024-03-12 18:50:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpDXnnRD/standata-a0857f18df4c.json
# init = 2 (Default)
# random
#   seed = 1343000617
# output
#   file = /home/guglielmo/PoD/Y2.1/ITI/project/out/r-slds-simp-202403121950-2-1cd788.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/guglielmo/PoD/Y2.1/ITI/project/out/r-slds-simp-profile-202403121950-2-77282c.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --name=r-slds-simp_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Z_A.1.1.1,Z_A.2.1.1,Z_A.3.1.1,Z_A.1.2.1,Z_A.2.2.1,Z_A.3.2.1,Z_A.1.1.2,Z_A.2.1.2,Z_A.3.1.2,Z_A.1.2.2,Z_A.2.2.2,Z_A.3.2.2,z_b.1.1,z_b.2.1,z_b.3.1,z_b.1.2,z_b.2.2,z_b.3.2,L_Q.1.1.1,L_Q.2.1.1,L_Q.3.1.1,L_Q.1.2.1,L_Q.2.2.1,L_Q.3.2.1,L_Q.1.1.2,L_Q.2.1.2,L_Q.3.1.2,L_Q.1.2.2,L_Q.2.2.2,L_Q.3.2.2,sigma_Q_unif.1.1,sigma_Q_unif.2.1,sigma_Q_unif.3.1,sigma_Q_unif.1.2,sigma_Q_unif.2.2,sigma_Q_unif.3.2,Z_R.1.1.1,Z_R.2.1.1,Z_R.3.1.1,Z_R.1.2.1,Z_R.2.2.1,Z_R.3.2.1,Z_R.1.1.2,Z_R.2.1.2,Z_R.3.1.2,Z_R.1.2.2,Z_R.2.2.2,Z_R.3.2.2,z_r.1.1,z_r.2.1,z_r.3.1,z_r.1.2,z_r.2.2,z_r.3.2,A.1.1.1,A.2.1.1,A.3.1.1,A.1.2.1,A.2.2.1,A.3.2.1,A.1.1.2,A.2.1.2,A.3.1.2,A.1.2.2,A.2.2.2,A.3.2.2,b.1.1,b.2.1,b.3.1,b.1.2,b.2.2,b.3.2,Q.1.1.1,Q.2.1.1,Q.3.1.1,Q.1.2.1,Q.2.2.1,Q.3.2.1,Q.1.1.2,Q.2.1.2,Q.3.1.2,Q.1.2.2,Q.2.2.2,Q.3.2.2,sigma_Q.1.1,sigma_Q.2.1,sigma_Q.3.1,sigma_Q.1.2,sigma_Q.2.2,sigma_Q.3.2,R.1.1.1,R.2.1.1,R.3.1.1,R.1.2.1,R.2.2.1,R.3.2.1,R.1.1.2,R.2.1.2,R.3.1.2,R.1.2.2,R.2.2.2,R.3.2.2,r.1.1,r.2.1,r.3.1,r.1.2,r.2.2,r.3.2,z_star.1,z_star.2,z_star.3,z_star.4,z_star.5,z_star.6,z_star.7,z_star.8,z_star.9,z_star.10,z_star.11,z_star.12,z_star.13,z_star.14,z_star.15,z_star.16,z_star.17,z_star.18,z_star.19,z_star.20,z_star.21,z_star.22,z_star.23,z_star.24,z_star.25,z_star.26,z_star.27,z_star.28,z_star.29,z_star.30,z_star.31,z_star.32,z_star.33,z_star.34,z_star.35,z_star.36,z_star.37,z_star.38,z_star.39,z_star.40,z_star.41,z_star.42,z_star.43,z_star.44,z_star.45,z_star.46,z_star.47,z_star.48,z_star.49,z_star.50,z_star.51,z_star.52,z_star.53,z_star.54,z_star.55,z_star.56,z_star.57,z_star.58,z_star.59,z_star.60,z_star.61,z_star.62,z_star.63,z_star.64,z_star.65,z_star.66,z_star.67,z_star.68,z_star.69,z_star.70,z_star.71,z_star.72,z_star.73,z_star.74,z_star.75,z_star.76,z_star.77,z_star.78,z_star.79,z_star.80,z_star.81,z_star.82,z_star.83,z_star.84,z_star.85,z_star.86,z_star.87,z_star.88,z_star.89,z_star.90,z_star.91,z_star.92,z_star.93,z_star.94,z_star.95,z_star.96,z_star.97,z_star.98,z_star.99,z_star.100,z_star.101,z_star.102,z_star.103,z_star.104,z_star.105,z_star.106,z_star.107,z_star.108,z_star.109,z_star.110,z_star.111,z_star.112,z_star.113,z_star.114,z_star.115,z_star.116,z_star.117,z_star.118,z_star.119,z_star.120,z_star.121,z_star.122,z_star.123,z_star.124,z_star.125,z_star.126,z_star.127,z_star.128,z_star.129,z_star.130,z_star.131,z_star.132,z_star.133,z_star.134,z_star.135,z_star.136,z_star.137,z_star.138,z_star.139,z_star.140,z_star.141,z_star.142,z_star.143,z_star.144,z_star.145,z_star.146,z_star.147,z_star.148,z_star.149,z_star.150,z_star.151,z_star.152,z_star.153,z_star.154,z_star.155,z_star.156,z_star.157,z_star.158,z_star.159,z_star.160,z_star.161,z_star.162,z_star.163,z_star.164,z_star.165,z_star.166,z_star.167,z_star.168,z_star.169,z_star.170,z_star.171,z_star.172,z_star.173,z_star.174,z_star.175,z_star.176,z_star.177,z_star.178,z_star.179,z_star.180,z_star.181,z_star.182,z_star.183,z_star.184,z_star.185,z_star.186,z_star.187,z_star.188,z_star.189,z_star.190,z_star.191,z_star.192,z_star.193,z_star.194,z_star.195,z_star.196,z_star.197,z_star.198,z_star.199,z_star.200,z_star.201,z_star.202,z_star.203,z_star.204,z_star.205,z_star.206,z_star.207,z_star.208,z_star.209,z_star.210,z_star.211,z_star.212,z_star.213,z_star.214,z_star.215,z_star.216,z_star.217,z_star.218,z_star.219,z_star.220,z_star.221,z_star.222,z_star.223,z_star.224,z_star.225,z_star.226,z_star.227,z_star.228,z_star.229,z_star.230,z_star.231,z_star.232,z_star.233,z_star.234,z_star.235,z_star.236,z_star.237,z_star.238,z_star.239,z_star.240
# Adaptation terminated
# Step size = 0.0103397
# Diagonal elements of inverse mass matrix:
# 5.30868e-05, 4.75599e-05, 3.35016e-05, 3.34438e-05, 0.0314816, 0.0486317, 0.0314108, 0.0487292, 0.0257812, 0.0321393, 0.0258243, 0.0321236, 0.00485721, 0.0047467, 0.00216721, 0.00423501, 0.00478913, 0.00597332, 0.0112579, 0.011334, 0.0127712, 0.00557839, 0.00705944, 0.00808541, 0.00597307, 0.00675869, 0.00729319, 4.68316e-05, 0.70519, 1.27922e-05, 0.800256, 0.085848, 0.128557, 0.0711863, 0.0914408, 0.00867626, 0.821752, 0.00872646, 0.718428, 0.413593, 0.990379, 0.521827, 0.564385, 0.384646, 0.864027
-1392.45,0.989582,0.0103397,9,511,0,1416.41,-0.343228,-0.284635,-0.769532,1.11171,0.0993679,-1.35217,-1.09741,1.7179,-0.787636,-0.331951,-0.890962,-1.35015,-3.08132,3.20529,-0.110872,-3.23242,3.33974,-0.028821,1,1,1,-0.149177,0.203395,-0.0934808,0,0,0,0.98881,0.979097,0.995621,1.55324,1.52985,1.535,1.55211,1.5415,1.53672,-1.0273,-1.49347,-0.987902,0.764918,-0.0537057,-0.298139,0.00149729,0.213582,-0.00337005,-0.576178,-0.493207,-0.010049,3.50801,-2.57068,-5.44075,0.602361,-2.54049,-0.144242,0.828386,0.689152,0.615234,0.555856,0.605254,-0.676083,-0.548705,0.303378,-0.393818,0.834025,0.385988,0.324923,1.07179,32.0529,-32.9937,-0.439292,33.3974,31.5967,5.69406,2.44093,2.79273,-0.798345,0.693953,-0.274244,0,0,0,5.29177,3.34052,2.92085,5.69406,2.44093,2.79273,5.35165,3.41184,2.93369,-0.0272979,-0.493473,0.0120978,0.764918,-0.0537057,-0.298139,0.00149729,0.213582,-0.00337005,0.423822,0.506793,0.989951,4.50801,-1.57068,-4.44075,1.60236,-1.54049,0.855758,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3
-1393.56,0.664434,0.0103397,9,511,0,1411.6,-0.343894,-0.227744,-0.75006,1.11244,0.122001,-1.40729,-1.09569,1.66787,-0.755169,-0.329151,-0.905736,-1.40332,-3.09164,3.18217,-0.0290272,-3.24311,3.33046,-0.0312912,1,1,1,-0.159452,0.214826,-0.0935836,0,0,0,0.987206,0.976652,0.995611,1.55294,1.53047,1.5349,1.55144,1.5405,1.5352,-1.03091,-1.52908,-0.960577,0.767204,-0.0534423,-0.459481,0.00269401,0.2491,0.0232269,0.0334143,-0.743728,0.112802,3.53018,-2.35897,-5.2069,1.22427,-2.35341,-0.41929,0.828053,0.717598,0.62497,0.556222,0.616571,-0.703643,-0.547843,0.278367,-0.377585,0.835425,0.378601,0.298338,0.968566,31.8217,-32.1752,-0.546193,33.3046,31.572,5.60007,2.47816,2.78454,-0.823501,0.70898,-0.262765,0,0,0,5.09849,3.22319,2.79549,5.60007,2.47816,2.78454,5.16456,3.30025,2.80781,-0.0309103,-0.529076,0.0394232,0.767204,-0.0534423,-0.459481,0.00269401,0.2491,0.0232269,1.03341,0.256272,1.1128,4.53018,-1.35897,-4.2069,2.22427,-1.35341,0.58071,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3
-1400.42,0.570479,0.0103397,8,255,0,1417.9,-0.335968,-0.196901,-0.725693,1.10603,0.240196,-1.39792,-1.08772,1.63436,-0.734476,-0.332691,-1.02769,-1.40368,-3.09706,3.19276,-0.0104378,-3.19922,3.26285,-0.0423019,1,1,1,-0.072024,0.255651,-0.100907,0,0,0,0.997403,0.966769,0.994896,1.5517,1.53171,1.53572,1.55223,1.54003,1.53503,-1.03163,-1.26947,-0.974284,0.673045,0.0465562,-0.399572,-0.000737305,0.220539,0.0115309,0.269725,-0.755206,0.0150444,2.93593,-2.712,-5.32385,0.566456,-2.27241,-0.411267,0.832016,0.733019,0.637154,0.553015,0.675668,-0.698961,-0.543859,0.261608,-0.367238,0.833654,0.317626,0.29816,0.914295,31.9276,-31.9893,-0.107233,32.6285,31.4619,5.23551,2.55716,2.85015,-0.387978,0.830644,-0.282031,0,0,0,5.3728,3.14117,2.78068,5.23551,2.55716,2.85015,5.38679,3.24914,2.79495,-0.0316276,-0.26947,0.0257159,0.673045,0.0465562,-0.399572,-0.000737305,0.220539,0.0115309,1.26972,0.244794,1.01504,3.93593,-1.712,-4.32385,1.56646,-1.27241,0.588733,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3
-1397.38,0.990484,0.0103397,8,255,0,1419.12,-0.333343,-0.179134,-0.582285,1.12467,0.091788,-1.3539,-1.10459,1.61877,-0.592248,-0.330191,-0.849074,-1.36801,-3.2429,3.23643,-0.054543,-3.16625,3.19017,-0.0985193,1,1,1,-0.213358,0.255407,-0.254558,0,0,0,0.976974,0.966834,0.967057,1.55429,1.53469,1.53566,1.552,1.53763,1.539,-1.02189,-1.27707,-1.0236,-0.0766376,-0.197743,0.0289419,0.000728802,-0.054854,-0.034969,0.722746,-0.410373,0.283477,2.50883,-2.09342,-4.73611,0.352445,-1.97811,-0.207667,0.833328,0.741902,0.708858,0.562336,0.601464,-0.676948,-0.552295,0.253815,-0.296124,0.834904,0.406933,0.315994,-0.544051,32.3643,-32.4304,0.222431,31.9017,30.8997,6.05873,2.76835,2.84495,-1.13525,0.769909,-0.800291,0,0,0,5.19835,2.91446,3.04028,6.05873,2.76835,2.84495,5.32087,3.01444,3.14384,-0.0218901,-0.277069,-0.0235961,-0.0766376,-0.197743,0.0289419,0.000728802,-0.054854,-0.034969,1.72275,0.589627,1.28348,3.50883,-1.09342,-3.73611,1.35245,-0.978106,0.792333,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3
-1410.97,0.988253,0.0103397,9,511,0,1427.63,-0.363059,-0.60459,-0.485051,1.1079,0.527438,-0.972007,-1.09602,2.02232,-0.502305,-0.332793,-1.30714,-0.974266,-3.18275,3.23844,-0.0573126,-3.06504,3.27694,-0.0424627,1,1,1,0.121809,-0.0219993,0.0357979,0,0,0,0.992554,0.999758,0.999359,1.55462,1.53051,1.53236,1.5532,1.54031,1.53701,-1.02545,-1.84157,-0.942032,0.337277,0.229752,-0.417802,0.00143319,0.340785,0.0426665,-0.106109,-0.973111,-0.788393,2.76252,-2.6218,-5.24168,-0.526609,-2.2695,0.276879,0.81847,0.529175,0.757475,0.553952,0.819289,-0.486003,-0.548009,0.455589,-0.251152,0.833603,0.177899,0.512867,0.0574088,32.3844,-32.4581,1.23458,32.7694,31.4603,6.18019,2.48063,2.60025,0.692095,-0.0721329,0.10592,0,0,0,5.63947,3.27808,2.95693,6.18019,2.48063,2.60025,5.68178,3.27887,2.95882,-0.0254469,-0.841567,0.0579678,0.337277,0.229752,-0.417802,0.00143319,0.340785,0.0426665,0.893891,0.0268886,0.211607,3.76252,-1.6218,-4.24168,0.473391,-1.2695,1.27688,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3
-1406.36,0.99006,0.0103397,9,511,0,1430.34,-0.33335,-0.217595,-0.485961,1.1301,0.578328,-1.43563,-1.09941,1.66155,-0.478216,-0.3298,-1.3566,-1.43714,-3.20638,3.23105,0.0531237,-3.23197,3.22508,-0.117566,1,1,1,-0.0882708,0.286179,-0.29081,0,0,0,0.996097,0.958176,0.956781,1.55553,1.53279,1.53768,1.55318,1.54007,1.54055,-1.01965,-1.14228,-0.919017,0.684697,0.602531,0.140849,0.000367311,-0.194145,0.0750534,0.854787,-0.167809,0.660328,2.38961,-1.94305,-3.21607,-0.92989,-2.21163,-0.757864,0.833325,0.722672,0.757019,0.565048,0.844734,-0.717814,-0.549703,0.275205,-0.239108,0.8351,0.153171,0.281431,-0.17886,32.3105,-31.3537,-0.434776,32.2508,30.7093,6.54812,2.62991,3.01869,-0.501139,0.931165,-0.961091,0,0,0,5.65512,3.1177,3.16204,6.54812,2.62991,3.01869,5.67728,3.25379,3.30487,-0.0196524,-0.142279,0.0809828,0.684697,0.602531,0.140849,0.000367311,-0.194145,0.0750534,1.85479,0.832191,1.66033,3.38961,-0.943049,-2.21607,0.0701103,-1.21163,0.242136,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3
